CD8_naive,CD8_Cytotoxic,CD8_Exhausted,CD8_Central_memory,CD8_Effector_memory
NELL2,AP20187,LAG3,MALT1,GFI1
REG4,ERBB2,PD1,IDO1,IL23R
CD248,GFI1,TIM3,SKIV2L,MALT1
MGAT4A,IL18,2B4,TRAF2,JAK3
NELL2,IL23R,CD200,SLC2A1,PDCD1LG2
CCR7,MALT1,TOX2,CD40LG,SELPLG
LEF1,MUC1,TOX,GZMK,SPNS2
APBA2,TERT,PRDM1,CCL5,BRD4
CARS,ADIPOQ,RBPJ,DUSP2,C1QBP
PIK3IP1,CD274,PDCD1,LYAR,ITPR2
,INS,TIGIT,ZNF683,NLRP3
,IPMK,HAVCR2,IL32,TRAF2
,PRF1,ZNF683,CXCR3,GZMK
,GZMA,LAYN,IL7R,DUSP2
,GZMB,ITGAE,TYROBP,CCL5
,GZMK,ANO6,,CST7
,NKG7,CDX-1127,,GZMA
,GNLY,IL2RB,,CMC1
,CX3CR1,MALT1,,CCL4
,KLRG1,NR1H4,,GZMM
,FGFBP2,TNFRSF18,,
,FCGR3A,VTCN1,,
